rvtr,title,artist,artists,albums,release_year,chart_rows,representative_week,duplicate_identity_count,status,priority,issues
"RVTR000175","Liar Liar","The Castaways","","","","14","1965-08-14","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000191","Cotton Candy","lil wayne","","","","1","2025-06-21","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000231","Pop Ur Sht","21 savage, young thug","","","","2","2024-01-27","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000260","The Boxer","simon","","","","10","1969-04-12","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000290","Style Taylor'S Version","taylor swift","","","","4","2023-11-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000294","Laugh At Me","sonny","","","","10","1965-08-21","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000326","Dicked Down In Dallas","trey lewis","","","","2","2020-12-12","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000344","I Need Your Loving","don gardner and dee dee ford","","","","13","1962-06-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000404","Tip Toe Thru' The Tulips With Me","tiny tim","","","","9","1968-05-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000457","Now That You'Ve Gone","connie stevens","","","","7","1965-04-24","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000538","Death By A Thousand Cuts","taylor swift","","","","1","2019-09-07","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000579","Dancing In Paradise","el coco","","","","6","1978-10-28","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000605","Nosedive","post malone","","","","2","2024-08-31","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000629","Right String But The Wrong Yo Yo","dr. feelgood and the interns","","","","3","1962-08-04","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000640","Expression","salt-n-pepa","","","","21","1990-03-10","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000667","But I Do","bobby vinton","","","","6","1972-12-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000736","Sue'S Gotta Be Mine","del shannon","","","","7","1963-11-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000738","Baby Talk","alisha","","","","17","1985-12-21","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000815","Mill Valley","miss abrams and the strawberry point school third grade class","","","","3","1970-08-01","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000905","Lovers By Night Strangers By Day","The Fleetwoods","","","","10","1962-10-13","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000922","The Mocking Bird","The Four Lads","","","","10","1958-11-03","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000968","I Know What You Want","busta rhymes","","","","24","2003-03-08","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001016","King Kong Pt I","The Jimmy Castor Bunch","","","","7","1975-10-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001069","Nightmare","halsey","","","","11","2019-06-01","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001104","I'Ll Be Your Everything","youngstown","","","","10","1999-08-14","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001148","Fin De Semana","junior h x oscar maydon","","","","2","2023-02-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001162","Rib Tip'S Part 1","andre williams","","","","1","1966-01-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001183","Survivor I Will Survive","glee cast","","","","1","2011-12-24","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001417","Remember You","wiz khalifa","","","","16","2012-12-08","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001567","Summer Nights","glee cast","","","","1","2012-02-04","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001650","Wild Wild West","The Escape Club","","","","27","1988-08-20","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001756","Not A Bad Thing","justin timberlake","","","","22","2014-03-15","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001759","Like I Want You","giveon","","","","4","2021-02-27","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001789","Stop Look What You'Re Doing","carla thomas","","","","3","1965-07-03","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001900","Thank God","kane brown","","","","42","2022-09-24","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001964","Eazy","The Game","","","","3","2022-01-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001994","Love Fire","jigsaw","","","","11","1976-02-07","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002007","The Rain The Park Other Things","The Cowsills","","","","16","1967-09-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002068","Hey Lonely One","baby washington","","","","1","1963-10-12","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002185","I Got A Woman","freddie scott","","","","7","1963-11-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002216","Slay3R","playboi carti","","","","1","2021-01-09","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002282","Right Back Where We Started From","sinitta","","","","4","1989-09-23","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002292","Diamond Ring","jerry wallace","","","","4","1958-12-08","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002319","Signs","drake","","","","6","2017-07-15","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002323","That'S All She Wrote","t.i","","","","5","2010-12-25","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002411","4 5 6","sole","","","","16","1999-10-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002416","I Put A Spell On You","alan price set","","","","3","1966-07-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002422","Best Friend","young thug","","","","20","2015-12-12","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002428","A Swingin' Safari","billy vaughn and his orchestra","","","","12","1962-07-21","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002490","Missed Opportunity","daryl hall undefined john oates","","","","11","1988-07-09","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002498","No Charge","melba montgomery","","","","10","1974-04-13","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002541","I'Ll See Him Through","tammy wynette","","","","2","1970-01-31","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002562","Breakthrough","bridgit mendler, adam hicks, naomi scott","","","","1","2011-05-07","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002771","Save Me The Trouble","dan + shay","","","","13","2023-07-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002839","Steppin' In A Slide Zone","The Moody Blues","","","","8","1978-07-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002847","Shallow","lady gaga","","","","45","2018-10-13","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003001","Here With Me","d4vd","","","","10","2023-01-14","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003062","Havin' Fun","dion","","","","6","1961-02-04","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
